generic_name,commercial_name,presentation,active_substance,route,concentration
Paracetamol,Tempra,Tabletas,Paracetamol,Oral,500 mg
Paracetamol,Tylenol,Tabletas,Paracetamol,Oral,500 mg
Ibuprofeno,Motrin,Grageas,Ibuprofeno,Oral,400 mg
Ibuprofeno,Advil,Cápsulas,Ibuprofeno,Oral,200 mg
Naproxeno,Flanax,Tabletas,Naproxeno,Oral,550 mg
Amoxicilina,Amoxil,Cápsulas,Amoxicilina,Oral,500 mg
Amoxicilina,Amoxil,Suspensión,Amoxicilina,Oral,250 mg/5ml
Cefalexina,Keflex,Cápsulas,Cefalexina,Oral,500 mg
Azitromicina,Zithromax,Tabletas,Azitromicina,Oral,500 mg
Diclofenaco,Voltaren,Grageas,Diclofenaco,Oral,100 mg
Ketorolaco,Dolac,Tabletas,Ketorolaco,Oral,10 mg
Ketorolaco,Dolac,Solución inyectable,Ketorolaco,Intramuscular,30 mg
Losartán,Cozaar,Tabletas,Losartán,Oral,50 mg
Enalapril,Renitec,Tabletas,Enalapril,Oral,10 mg
Metformina,Glucophage,Tabletas,Metformina,Oral,850 mg
Omeprazol,Losec,Cápsulas,Omeprazol,Oral,20 mg
Pantoprazol,Controloc,Grageas,Pantoprazol,Oral,40 mg
Insulina Glargina,Lantus,Solución inyectable,Insulina,Subcutánea,100 UI/ml
Salbutamol,Ventolin,Aerosol,Salbutamol,Inhalatoria,100 mcg/dosis
Loratadina,Clarityne,Tabletas,Loratadina,Oral,10 mg
Levocetirizina,Xyzal,Tabletas,Levocetirizina,Oral,5 mg
Clonazepam,Rivotril,Tabletas,Clonazepam,Oral,2 mg
Alprazolam,Tafil,Tabletas,Alprazolam,Oral,0.5 mg
