generic_name,commercial_name,presentation,active_substance,route,concentration,status
Ibuprofeno,"Advil 400",Inhalador,Ibuprofeno,Intravenosa,"50 mg",active
Ibuprofeno,"Advil 600",Jarabe,Ibuprofeno,Oftálmica,"2 mg",active
Salbutamol,"Ventolin 600",Jarabe,Salbutamol,Intramuscular,"10 mg",active
Clonazepam,"Klonopin 400",Jarabe,Clonazepam,Tópica,"400 mg",active
Paracetamol,"Tylenol 200",Inyectable,Paracetamol,Sublingual,"50 mg/ml",active
Amoxicilina,"Amoxil 500",Inhalador,Amoxicilina,Inhalatoria,"250 mg",active
Ibuprofeno,"Advil 400",Inhalador,Ibuprofeno,Intravenosa,"2 mg",active
Fluoxetina,"Prozac 100",Gotas,Fluoxetina,Intravenosa,"2 mg",active
Omeprazol,"Prilosec 300",Cápsulas,Omeprazol,Sublingual,"500 mcg",active
Ibuprofeno,"Advil 200",Gotas,Ibuprofeno,Tópica,"20 mg",active
Naproxeno,"Aleve 400",Jarabe,Naproxeno,Intravenosa,"400 mg",active
Clonazepam,"Klonopin 100",Cápsulas,Clonazepam,Oral,"2 mg",active
Paracetamol,"Tylenol 900",Pomada,Paracetamol,Oral,"10 mg",active
Amoxicilina,"Amoxil 600",Tabletas,Amoxicilina,Intramuscular,"50 mg",active
Ciprofloxacino,"Cipro 400",Suspensión,Ciprofloxacino,Ótica,"5 ml",active
Naproxeno,"Aleve 100",Tabletas,Naproxeno,Rectal,"10 mg",active
Loratadina,"Claritin 700",Crema,Loratadina,Sublingual,"500 mcg",active
Omeprazol,"Prilosec 700",Tabletas,Omeprazol,Rectal,"100 mg",active
Omeprazol,"Prilosec 100",Inhalador,Omeprazol,Oral,"2 mg",active
Loratadina,"Claritin 600",Gotas,Loratadina,Inhalatoria,"1 g",active
Fluoxetina,"Prozac 800",Inhalador,Fluoxetina,Inhalatoria,"20 mg",active
Losartan,"Cozaar 500",Inyectable,Losartan,Ótica,"10 mg",active
Losartan,"Cozaar 300",Supositorios,Losartan,Inhalatoria,"10 mg",active
Loratadina,"Claritin 600",Supositorios,Loratadina,Sublingual,"500 mg",active
Ketorolaco,"Toradol 800",Gotas,Ketorolaco,Inhalatoria,"500 mg",active
Amoxicilina,"Amoxil 200",Pomada,Amoxicilina,Ótica,"250 mg",active
Metformina,"Glucophage 500",Inhalador,Metformina,Intramuscular,"2 mg",active
Losartan,"Cozaar 500",Tabletas,Losartan,Ótica,"50 mg",active
Dexametasona,"Decadron 700",Inyectable,Dexametasona,Inhalatoria,"100 mg",active
Ibuprofeno,"Advil 100",Gotas,Ibuprofeno,Oftálmica,"50 mg/ml",active
Amoxicilina,"Amoxil 900",Tabletas,Amoxicilina,Rectal,"100 ml",active
Naproxeno,"Aleve 100",Cápsulas,Naproxeno,Inhalatoria,"20 mg",active
Metformina,"Glucophage 800",Inhalador,Metformina,Intramuscular,"10 mg",active
Atorvastatina,"Lipitor 300",Crema,Atorvastatina,Sublingual,"10 mg",active
Sertralina,"Zoloft 400",Inhalador,Sertralina,Inhalatoria,"10 mg",active
Ketorolaco,"Toradol 900",Pomada,Ketorolaco,Intravenosa,"100 ml",active
Loratadina,"Claritin 500",Crema,Loratadina,Ótica,"100 mg",active
Sertralina,"Zoloft 300",Cápsulas,Sertralina,Intramuscular,"100 ml",active
Clonazepam,"Klonopin 400",Crema,Clonazepam,Inhalatoria,"100 ml",active
Fluoxetina,"Prozac 800",Inhalador,Fluoxetina,Tópica,"500 mg",active
Ibuprofeno,"Advil 700",Jarabe,Ibuprofeno,Oral,"250 mg",active
Metformina,"Glucophage 200",Suspensión,Metformina,Intravenosa,"100 mg",active
Loratadina,"Claritin 300",Suspensión,Loratadina,Sublingual,"5 ml",active
Dexametasona,"Decadron 100",Tabletas,Dexametasona,Inhalatoria,"250 mg",active
Ketorolaco,"Toradol 300",Pomada,Ketorolaco,Ótica,"100 mg",active
Fluoxetina,"Prozac 900",Inyectable,Fluoxetina,Oftálmica,"850 mg",active
Fluoxetina,"Prozac 400",Supositorios,Fluoxetina,Ótica,"500 mg",active
Salbutamol,"Ventolin 400",Jarabe,Salbutamol,Tópica,"500 mg",active
Amoxicilina,"Amoxil 600",Pomada,Amoxicilina,Rectal,"850 mg",active
Amoxicilina,"Amoxil 500",Inyectable,Amoxicilina,Rectal,"100 mg",active
Clonazepam,"Klonopin 200",Pomada,Clonazepam,Ótica,"250 mg",active
Sertralina,"Zoloft 300",Cápsulas,Sertralina,Oftálmica,"50 mg/ml",active
Enalapril,"Vasotec 600",Suspensión,Enalapril,Oftálmica,"100 mg",active
Dexametasona,"Decadron 600",Jarabe,Dexametasona,Sublingual,"10 mg",active
Salbutamol,"Ventolin 600",Crema,Salbutamol,Oral,"1 g",active
Omeprazol,"Prilosec 900",Supositorios,Omeprazol,Oral,"500 mcg",active
Fluoxetina,"Prozac 900",Cápsulas,Fluoxetina,Sublingual,"5 ml",active
Omeprazol,"Prilosec 900",Inyectable,Omeprazol,Tópica,"400 mg",active
Fluoxetina,"Prozac 300",Crema,Fluoxetina,Tópica,"500 mcg",active
Enalapril,"Vasotec 100",Pomada,Enalapril,Intravenosa,"500 mcg",active
Atorvastatina,"Lipitor 600",Inyectable,Atorvastatina,Intramuscular,"50 mg/ml",active
Metformina,"Glucophage 400",Inhalador,Metformina,Inhalatoria,"10 mg",active
Amoxicilina,"Amoxil 700",Inhalador,Amoxicilina,Sublingual,"400 mg",active
Loratadina,"Claritin 600",Jarabe,Loratadina,Oral,"1 g",active
Azitromicina,"Zithromax 600",Pomada,Azitromicina,Intramuscular,"10 mg",active
Diclofenaco,"Voltaren 500",Pomada,Diclofenaco,Sublingual,"500 mcg",active
Ceftriaxona,"Rocephin 800",Inyectable,Ceftriaxona,Tópica,"50 mg",active
Naproxeno,"Aleve 300",Inyectable,Naproxeno,Sublingual,"500 mcg",active
Salbutamol,"Ventolin 400",Pomada,Salbutamol,Oral,"2 mg",active
Omeprazol,"Prilosec 300",Pomada,Omeprazol,Intravenosa,"50 mg",active
Paracetamol,"Tylenol 800",Supositorios,Paracetamol,Ótica,"20 mg",active
Enalapril,"Vasotec 900",Tabletas,Enalapril,Ótica,"50 mg",active
Ibuprofeno,"Advil 900",Inhalador,Ibuprofeno,Ótica,"20 mg",active
Ciprofloxacino,"Cipro 100",Supositorios,Ciprofloxacino,Oftálmica,"50 mg",active
Losartan,"Cozaar 200",Inyectable,Losartan,Intramuscular,"10 mg",active
Diclofenaco,"Voltaren 500",Inyectable,Diclofenaco,Rectal,"2 mg",active
Salbutamol,"Ventolin 400",Inhalador,Salbutamol,Oftálmica,"1 g",active
Amoxicilina,"Amoxil 200",Pomada,Amoxicilina,Inhalatoria,"250 mg",active
Clonazepam,"Klonopin 900",Gotas,Clonazepam,Rectal,"850 mg",active
Sertralina,"Zoloft 600",Pomada,Sertralina,Intravenosa,"1 g",active
Fluoxetina,"Prozac 600",Cápsulas,Fluoxetina,Tópica,"100 mg",active
Ketorolaco,"Toradol 600",Cápsulas,Ketorolaco,Tópica,"250 mg",active
Dexametasona,"Decadron 700",Supositorios,Dexametasona,Sublingual,"400 mg",active
